Source,Target,Weight,Type
GPT-4 (Mar 2023),GPT-4 (Jun 2023),1,Directed
Llama 2-70B,Code Llama-70B,1,Directed
RoBERTa Large,LUKE,1,Directed
EXAONE 3.5 32B,EXAONE Deep 32B,1,Directed
ViT-G/14,VideoMAE V2,1,Directed
Llama 2-7B,OpenVLA,1,Directed
Code Llama-34B,Llemma 34B,1,Directed
Chinchilla,Flamingo,1,Directed
Code Llama-7B,Llemma 7B,1,Directed
PaLM (540B),Flan-PaLM 540B,1,Directed
InternLM,InternLM-XComposer,1,Directed
Vicuna-13B v0,LLaVA 1.5,1,Directed
T5-11B,UnifiedQA,1,Directed
ViT-Huge/14,Segment Anything Model,1,Directed
Llama 2-13B,SPHINX (Llama 2 13B),1,Directed
Qwen2-72B,NVLM-D 72B,1,Directed
InternViT-6B,NVLM-D 72B,1,Directed
Llama 2-13B,FinGPT-13B,1,Directed
PaLM (540B),Minerva (540B),1,Directed
Vicuna-13B v0,LLaVA,1,Directed
Vicuna-13B v0,InstructBLIP,1,Directed
LLaMA-65B,IDEFICS-80B,1,Directed
CLIP ViT-H/14 - LAION-2B,IDEFICS-80B,1,Directed
Eagle 2,GR00T N1 2B,1,Directed
OPT-175B,OPT-IML (175B),1,Directed
Qwen-14B,nekomata-14b,1,Directed
LaMDA,FLAN 137B,1,Directed
LLaVA 1.5,Volcano 13B,1,Directed
Vicuna-13B v0,Ferret (13B),1,Directed
PaLM (540B),U-PaLM (540B),1,Directed
Gemma 2 9B,SEA-LION V3 Gemma2 9B,1,Directed
Llama 2-70B,Meditron-70B,1,Directed
Qwen2-72B,LLaVA-OV-72B,1,Directed
Llama 3-8B,Llama SEA-LION V2 8B,1,Directed
AlphaFold 2,AlphaFold-Multimer,1,Directed
Transformer (Adaptive Input Embeddings) WT103,Decaying Fast Weights Transformer (WT-103),1,Directed
ProtBERT-UniRef,PeptideBERT,1,Directed
Llama 3.1-8B,SEA-LION V3 Llama3.1 8B,1,Directed
GPT-2 (124M),GPT2+CoreLM+Fine-Tuning,1,Directed
Llama 2-70B,TigerBot-70B,1,Directed
DeepSeek LLM 7B,DeepSeek-VL-7B,1,Directed
VILA1.5-13B,HAMSTER VLM,1,Directed
OPT-175B,BlenderBot 3,1,Directed
Qwen2-72B,NVLM-X 72B,1,Directed
InternViT-6B,NVLM-X 72B,1,Directed
Phi-4,Phi-4-Reasoning,1,Directed
Stable Diffusion 1.2,Stable Diffusion (LDM-KL-8-G),1,Directed
Mistral 7B,Bielik 7B,1,Directed
Qwen2-72B,NVLM-H 72B,1,Directed
InternViT-6B,NVLM-H 72B,1,Directed
Llama 3.1-70B,SEA-LION V3 Llama3.1 70B,1,Directed
VGG16,SAF R-CNN,1,Directed
Llama 2-34B,Code Llama-34B,1,Directed
DeepSeek-LLM-1.3b-base,DeepSeek-VL-1.3B,1,Directed
Gemma 2 2B,PaliGemma 2 3B Mix 224,1,Directed
SigLIP 400M,PaliGemma 2 3B Mix 224,1,Directed
T5-11B,T0-XXL,1,Directed
PaLM 2,FunSearch,1,Directed
BLOOM-176B,BLUUMI,1,Directed
Vicuna-7B v0,CogVLM-17B,1,Directed
phi-3-mini 3.8B,phi-3.5-Vision,1,Directed
InternViT-6B,InternVL,1,Directed
LLaMA-7B,InternVL,1,Directed
PaLM (540B),PaLM-SayCan,1,Directed
DeepSeek-V2 (MoE-236B),DeepSeek-Coder-V2 236B,1,Directed
Llama 2-7B,Llama Guard,1,Directed
Llama 3-8B,P-LLama3,1,Directed
Stable Video Diffusion,Diffusion Renderer,1,Directed
Phi-4 Mini,Phi-4-Multimodal,1,Directed
GPT-2 (124M),$\infty$-former (SM),1,Directed
SigLIP 400M,VILA1.5-13B,1,Directed
Vicuna-13B-v1.5,VILA1.5-13B,1,Directed
Qwen2.5 Instruct (72B),s1,1,Directed
Gemma 2 9B,TxGemma 9B,1,Directed
Gemma 2 27B,TxGemma 27B,1,Directed
Llama 3.1-8B,Llama 3.2 11B,1,Directed
Llama 2-13B,VILA-13B,1,Directed
CLIP (ViT L/14@336px),VILA-13B,1,Directed
GPT-2 (124M),KnGPT2,1,Directed
Stable Diffusion (LDM-KL-8-G),AR-LDM,1,Directed
CLIP ViT-H/14 - LAION-2B,IDEFICS-9B,1,Directed
LLaMA-7B,IDEFICS-9B,1,Directed
Llama 3-70B,Llama-3-Taiwan-70B,1,Directed
ViT-Huge/14,Masked Autoencoders ViT-H,1,Directed
Llama 2-70B,Jais-70B,1,Directed
Llama 2-70B,Tulu V2 DPO 70B,1,Directed
Ling-flash-base-2.0-20T,Ring-flash-linear-2.0,1,Directed
Ling-mini-base-2.0-20T,Ring-mini-linear-2.0,1,Directed
Qwen3-30B-A3B,AgentFounder-30B,1,Directed
Gemma 2 2B,TxGemma 2B,1,Directed
GPT-3 175B (davinci),InstructGPT 175B,1,Directed
Gemma 3 27B,Gemma-SEA-LION-v4-27B-IT,1,Directed
Llama 3.1-8B,NatureLM-audio,1,Directed
LLaMA-13B,Orca 2-13B,1,Directed
Stable Diffusion (LDM-KL-8-G),Taiyi-Stable Diffusion,1,Directed
OPT-175B,SparseOPT-175B,1,Directed
Llama 2-13B,PLLaMa,1,Directed
LLaMA-7B,Goat-7B,1,Directed
DeepSeek-V3,DeepSeek-R1,1,Directed
GPT-2 (774M),GPT2-Large+LHOPT,1,Directed
Flan-T5 11B,CoEdiT-xxl,1,Directed
Mixtral 8x7B,GRITLM 8x7B,1,Directed
Mistral 7B,GRITLM 7B,1,Directed
EXAONE 3.5 7.8B,EXAONE Deep 7.8B,1,Directed
Cosmos-Predict1-7b-Video2World,Cosmos-Transfer1-7B,1,Directed
Llama 3.1-70B,Hermes 3 70B,1,Directed
Llama 3.1-405B,Hermes 3 405B,1,Directed
Qwen2.5-7B,Eagle 2,1,Directed
Llama 3.1-8B,Hermes 3 8B,1,Directed
DeepSeek-V3,DeepSeek-R1 (May 2025),1,Directed
SigLIP 400M,Janus-Pro-1B,1,Directed
DeepSeek-LLM-1.3b-base,Janus-Pro-1B,1,Directed
DeepSeek LLM 7B,Janus-Pro-7B,1,Directed
SigLIP 400M,Janus-Pro-7B,1,Directed
Llama 2-7B,mPLUG-Owl2,1,Directed
Mistral 7B,Bielik-11B-v2,1,Directed
Transformer (Adaptive Input Embeddings) WT103,base LM+GNN+kNN,1,Directed
Llama 2-7B,Code Llama-7B,1,Directed
LLaMA-7B,ALLaM 7B,1,Directed
mT5-XXL,Aya,1,Directed
Llama 2-70B,Me Llama 70B,1,Directed
Llama 3-8B,ProtChatGPT,1,Directed
Yi-34B,Yi-VL-34B,1,Directed
CLIP ViT-H/14 - LAION-2B,Yi-VL-34B,1,Directed
Gemma 2 9B,SimPO,1,Directed
Llama 2-70B,ALLaM adapted 70B,1,Directed
Qwen2.5-7B,OREAL 7B,1,Directed
DNABERT,BERT-RBP,1,Directed
Stable Diffusion (LDM-KL-8-G),Emu1 (BAAI),1,Directed
EVA-01,Emu1 (BAAI),1,Directed
LLaMA-13B,Emu1 (BAAI),1,Directed
Transformer-XL (257M),Transformer-XL Large + Phrase Induction,1,Directed
Flan-T5 11B,Flan T5-XXL + BLIP-2,1,Directed
CogView2,CogVideo,1,Directed
Llama 2-13B,Xinyu,1,Directed
FAIRSEQ Adaptive Inputs,Transformer + GFM,1,Directed
Llama 3.1-70B,FoxBrain,1,Directed
SigLIP 400M,Gemma 3 27B,1,Directed
SigLIP 400M,Gemma 3 12B,1,Directed
SigLIP 400M,Gemma 3 4B,1,Directed
EXAONE 3.5 2.4B,EXAONE Deep 2.4B,1,Directed
StarCoder,WizardCoder-15.5B,1,Directed
Qwen2.5 Instruct (7B),OpenOmni,1,Directed
CLIP (ViT L/14@336px),OpenOmni,1,Directed
Whisper v3,OpenOmni,1,Directed
GTE-ModernColBERT-v1,Reason-ModernColBERT,1,Directed
SciBERT,Specter,1,Directed
LLaMA-13B,ChatBit,1,Directed
Mistral 7B,Zephyr 7B,1,Directed
LLaMA-65B,Guanaco-65B,1,Directed
Qwen1.5-7B,Sailor-7B-Chat,1,Directed
T5-11B,Tk-Instruct,1,Directed
Qwen2-Math-7B,rStar-Math (Qwen2-Math-7B base),1,Directed
T5-11B,Flan-T5 11B,1,Directed
Qwen2.5-Math-7B-Base,rStar-Math (Qwen2.5-Math-7B base),1,Directed
InternViT-6B,OmniFusion-7B (InternViT-6B-448px V1-2),1,Directed
