Id,Organization,Domain,Year,LogParameters,OrgType,IsFrontier,IsNotable,OpenWeights,Country,Label,Size,Category
Falcon-180B,Technology Innovation Institute,Language,2023.0,11.255272505103306,Government,True,True,True,United Arab Emirates,Falcon-180B,11.255272505103306,Frontier+Notable
GPT-3 175B (davinci),OpenAI,Language,2020.0,11.242044239369552,Industry,True,True,False,United States of America,GPT-3 175B (davinci),11.242044239369552,Frontier+Notable
GLM-130B,Tsinghua University,Language,2022.0,11.113943352306837,Academia,False,True,True,China,GLM-130B,11.113943352306837,Notable
Gopher (280B),DeepMind,Language,2021.0,11.44715803134222,Industry,True,True,False,United Kingdom of Great Britain and Northern Ireland,Gopher (280B),11.44715803134222,Frontier+Notable
OPT-175B,Meta AI,Language,2022.0,11.243038048686294,Industry,False,True,True,United States of America,OPT-175B,11.243038048686294,Notable
BLOOM-176B,"Hugging Face,BigScience",Language,2022.0,11.24612240217593,Industry,False,True,True,United States of America,BLOOM-176B,11.24612240217593,Notable
PaLM (540B),Google Research,Language,2022.0,11.732675155803872,Industry,True,True,False,United States of America,PaLM (540B),11.732675155803872,Frontier+Notable
Llama 3.1-405B,Meta AI,Language,2024.0,11.60745502321467,Industry,True,True,True,United States of America,Llama 3.1-405B,11.60745502321467,Frontier+Notable
GPT-4 (Mar 2023),OpenAI,Multimodal,2023.0,12.255272505103306,Industry,True,True,False,United States of America,GPT-4 (Mar 2023),12.255272505103306,Frontier+Notable
GPT-4 (Jun 2023),OpenAI,Multimodal,2023.0,12.255272505103306,Industry,True,True,False,United States of America,GPT-4 (Jun 2023),12.255272505103306,Frontier+Notable
LLaMA-65B,Meta AI,Language,2023.0,10.81424759573192,Industry,False,True,True,United States of America,LLaMA-65B,10.81424759573192,Notable
UL2,"Google Research,Google Brain",Language,2022.0,10.301029995663981,Industry,False,True,True,United States of America,UL2,10.301029995663981,Notable
BloombergGPT,"Bloomberg,Johns Hopkins University",Language,2023.0,10.703797345765011,Industry,False,True,False,United States of America,BloombergGPT,10.703797345765011,Notable
Llama 2-70B,Meta AI,Language,2023.0,10.845098040014257,Industry,False,True,True,United States of America,Llama 2-70B,10.845098040014257,Notable
Meena,Google Brain,Language,2020.0,9.414973347970818,Industry,True,True,False,United States of America,Meena,9.414973347970818,Frontier+Notable
Megatron-LM (8.3B),NVIDIA,Language,2019.0,9.919078092376074,Industry,True,True,False,United States of America,Megatron-LM (8.3B),9.919078092376074,Frontier+Notable
Code Llama-70B,Meta AI,Language,2024.0,10.845098040014257,Industry,False,False,True,United States of America,Code Llama-70B,10.845098040014257,Standard
StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",Language,2023.0,10.190331698170292,Industry,False,True,True,United States of America,StarCoder,10.190331698170292,Notable
DeepSeek-V3,DeepSeek,Language,2024.0,11.826722520168993,Industry,False,True,True,China,DeepSeek-V3,11.826722520168993,Notable
AlexaTM 20B,Amazon,Language,2022.0,10.29556709996248,Industry,False,True,False,United States of America,AlexaTM 20B,10.29556709996248,Notable
Megatron-Turing NLG 530B,"Microsoft,NVIDIA",Language,2021.0,11.724275869600788,Industry,True,True,False,United States of America,Megatron-Turing NLG 530B,11.724275869600788,Frontier+Notable
DeepSeek-V3 (Mar 2025),DeepSeek,Language,2025.0,11.826722520168993,Industry,False,True,True,China,DeepSeek-V3 (Mar 2025),11.826722520168993,Notable
HyperCLOVA 82B,"NAVER,Search Solutions",Language,2021.0,10.913813852383717,Industry,False,False,False,Korea (Republic of),HyperCLOVA 82B,10.913813852383717,Standard
Nemotron-4 340B,NVIDIA,Language,2024.0,11.531478917042255,Industry,True,True,True,United States of America,Nemotron-4 340B,11.531478917042255,Frontier+Notable
Megatron-BERT,NVIDIA,Language,2019.0,9.5910646070265,Industry,True,True,False,United States of America,Megatron-BERT,9.5910646070265,Frontier+Notable
GShard (dense),Google,Language,2020.0,9.361727836017593,Industry,True,True,False,United States of America,GShard (dense),9.361727836017593,Frontier+Notable
GLaM,Google,Language,2021.0,12.079181246047625,Industry,False,True,False,United States of America,GLaM,12.079181246047625,Notable
MegaScale (530B),"ByteDance,Peking University",Language,2024.0,11.724275869600788,Industry,False,False,False,China,MegaScale (530B),11.724275869600788,Standard
Skywork-13B,Kunlun Inc.,Language,2023.0,10.113943352306837,Industry,False,True,True,China,Skywork-13B,10.113943352306837,Notable
LUKE,"University of Washington,National Institute of Informatics",Language,2020.0,8.683947130751513,Academia,False,True,True,United States of America,LUKE,8.683947130751513,Notable
EXAONE Deep 32B,LG AI Research,Language,2025.0,10.505149978319906,Industry,False,True,True,Korea (Republic of),EXAONE Deep 32B,10.505149978319906,Notable
T5-11B,Google,Language,2019.0,10.041392685158225,Industry,True,True,True,United States of America,T5-11B,10.041392685158225,Frontier+Notable
VideoMAE V2,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",Video,2023.0,9.0,Academia,False,True,True,China,VideoMAE V2,9.0,Notable
Switch,Google,Language,2021.0,12.196176185039974,Industry,True,True,True,United States of America,Switch,12.196176185039974,Frontier+Notable
AFM-on-device,Apple,Language,2024.0,9.436162647040756,Industry,False,True,False,United States of America,AFM-on-device,9.436162647040756,Notable
OpenVLA,"Stanford University,University of California (UC) Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence",Robotics,2024.0,9.85661411033261,Academia,False,True,True,United States of America,OpenVLA,9.85661411033261,Notable
GPT-NeoX-20B,EleutherAI,Language,2022.0,10.301029995663981,Research collective,False,True,True,United States of America,GPT-NeoX-20B,10.301029995663981,Notable
LaMDA,Google,Language,2022.0,11.136720567156408,Industry,False,True,False,United States of America,LaMDA,11.136720567156408,Notable
Nucleotide Transformer,"NVIDIA,Technical University of Munich,InstaDeep",Biology,2023.0,9.397940008672037,Industry,False,True,True,United States of America,Nucleotide Transformer,9.397940008672037,Notable
AlphaCode,DeepMind,Language,2022.0,10.613841821876068,Industry,False,True,False,United Kingdom of Great Britain and Northern Ireland,AlphaCode,10.613841821876068,Notable
ViT-22B,Google,Vision,2023.0,10.337319465856927,Industry,False,True,False,United States of America,ViT-22B,10.337319465856927,Notable
EfficientNetV2-XL,"Google,Google Brain",Vision,2021.0,8.318063334962762,Industry,False,True,True,United States of America,EfficientNetV2-XL,8.318063334962762,Notable
Llemma 34B,"Princeton University,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington,EleutherAI",Mathematics,2023.0,10.531478917042255,Academia,False,False,True,United States of America,Llemma 34B,10.531478917042255,Standard
Flamingo,DeepMind,Multimodal,2022.0,10.903089986991944,Industry,False,True,False,United Kingdom of Great Britain and Northern Ireland,Flamingo,10.903089986991944,Notable
Llemma 7B,"Princeton University,EleutherAI,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington",Mathematics,2023.0,9.845098040014257,Academia,False,False,True,United States of America,Llemma 7B,9.845098040014257,Standard
Flan-PaLM 540B,Google,Language,2022.0,11.732393759822969,Industry,True,True,False,United States of America,Flan-PaLM 540B,11.732393759822969,Frontier+Notable
PanGu-Σ,Huawei Noah's Ark Lab,Language,2023.0,12.035429738184549,Industry,False,True,False,China,PanGu-Σ,12.035429738184549,Notable
BERT-Large,Google,Language,2018.0,8.531478917042255,Industry,False,True,True,United States of America,BERT-Large,8.531478917042255,Notable
xTrimoPGLM -100B,"Tsinghua University,BioMap Research",Biology,2023.0,11.0,Academia,False,True,False,China,xTrimoPGLM -100B,11.0,Notable
InternLM-XComposer,Shanghai AI Lab,Multimodal,2023.0,9.845098040014257,Academia,False,False,True,China,InternLM-XComposer,9.845098040014257,Standard
LLaVA 1.5,"University of Wisconsin Madison,Microsoft Research",Multimodal,2023.0,10.113943352306837,Academia,False,True,True,United States of America,LLaVA 1.5,10.113943352306837,Notable
