Model,Organization,primary_country,primary_domain,year,log_parameters,log_compute,log_cost,org_type,is_open_weights
Theseus,Bell Laboratories,United States of America,Robotics,1950.0,1.6020599913279623,1.6020599913279623,,Industry,False
Perceptron Mark I,"Cornell Aeronautical Laboratory,Cornell University",United States of America,Other,1957.0,3.0,5.8419191478843,,Academia,False
Samuel Neural Checkers,IBM,United States of America,Games,1959.0,1.2041199826559248,8.631849462159819,,Industry,False
Pandemonium (morse),Massachusetts Institute of Technology (MIT),United States of America,Language,1959.0,,8.778151250383644,,Academia,False
ADALINE,Stanford University,United States of America,Vision,1960.0,1.2304489213782739,3.8195439355418688,,Academia,False
Perceptron (1960),Cornell Aeronautical Laboratory,United States of America,Vision,1960.0,3.0,8.857332496431269,,Academia,False
Linear Decision Functions,Bell Laboratories,United States of America,Mathematics,1962.0,,6.192915752723169,,Industry,False
Print Recognition Logic,IBM,United States of America,Vision,1963.0,,7.352182518111363,,Industry,False
LTE speaker verification system,IBM,United States of America,Speech,1966.0,3.3140779917792127,8.024965917304296,,Industry,False
Neocognitron,NHK Broadcasting Science Research Laboratories,Japan,Vision,1980.0,6.057124228920816,8.437335470632421,,Industry,False
ASE+ACE,University of Massachusetts Amherst,United States of America,Robotics,1983.0,2.510545010206612,8.510545010206613,,Academia,False
MLP with back-propagation,"University of California San Diego,Carnegie Mellon University (CMU)",United States of America,Mathematics,1986.0,2.8573324964312685,8.828608345169373,,Academia,False
Distributed representation NN,Carnegie Mellon University (CMU),United States of America,Other,1986.0,2.635483746814912,8.589726256254236,,Academia,False
NetTalk (transcription),Princeton University,United States of America,Speech,1987.0,4.270189542704181,10.452215952997225,,Academia,False
Translation-invariant MLP,Carnegie Mellon University (CMU),United States of America,,1987.0,2.9116901587538613,10.256066711087202,,Academia,False
NetTalk (dictionary),Princeton University,United States of America,Speech,1987.0,4.270189542704181,10.441915996357412,,Academia,False
Invariant image recognition,Complutense University of Madrid,Spain,Vision,1989.0,,10.431363764158988,,Academia,False
Zip CNN,"AT&T,Bell Laboratories",United States of America,Vision,1989.0,3.9894498176666917,12.175029720929711,,Industry,False
Handwritten digit recognition network,AT&T,United States of America,Vision,1989.0,3.4112829130173843,11.258733037212812,,Industry,False
SexNet compression,,,Vision,1990.0,4.862965758977762,10.896389514464712,,,False
NETtalk reimplementation,Oregon State University,United States of America,Speech,1990.0,4.439016728387513,10.554027799687965,,Academia,False
Weight Decay,,,Speech,1991.0,3.9235548580675492,10.877797367506874,,,False
TD-Gammon,IBM,United States of America,Games,1992.0,4.3979400086720375,13.260838066803219,,Industry,False
Siamese-TDNN,Bell Laboratories,United States of America,Vision,1993.0,2.8715729355458786,13.109564041095242,,Industry,False
Predictive Coding NN,Technical University of Munich,Germany,Language,1994.0,5.315781480708604,13.270023990147928,,Academia,False
NeuroChess,,,Games,1994.0,4.858843862383276,11.933857046379654,,,False
MUSIC perceptron,,,Vision,1996.0,4.133762384787346,11.945337390657938,,,False
LSTM,Technical University of Munich,Germany,Language,1997.0,4.021354713081423,13.498475967801085,,Academia,False
LeNet-5,AT&T,United States of America,Vision,1998.0,4.778151250383644,12.44885120481183,,Industry,False
RECONTRA-categorized,,,Language,1999.0,4.824646414718352,12.903827660765977,,,False
Neural LM,University of Montreal / Université de Montréal,Canada,Language,2000.0,6.839288198455515,15.802020751771975,,Academia,False
PoE MNIST,University College London (UCL),United Kingdom of Great Britain and Northern Ireland,Vision,2000.0,6.593873960692232,13.714413592287121,,Academia,False
Decision tree (classification),"Mitsubishi Electric Research Labs,Compaq CRL",United States of America,Vision,2001.0,4.079181246047625,13.799340549453582,,Industry,False
NPLM (AP News),University of Montreal / Université de Montréal,Canada,Language,2003.0,7.075702549625852,15.22190152187542,,Academia,False
NPLM (Brown),University of Montreal / Université de Montréal,Canada,Language,2003.0,6.615343192924726,14.120824762523368,,Academia,False
LMICA,,,Vision,2004.0,6.612359947967774,15.444369614174724,,,False
Hierarchical LM,,,Language,2005.0,,14.063888540530298,,,False
SVM-CNN,New York University (NYU),United States of America,Vision,2006.0,4.958358392780661,14.872272846224204,,Academia,False
SB-LM,Google,United States of America,Language,2007.0,11.477121254719663,18.16120215993618,,Industry,False
KN-LM,Google,United States of America,Language,2007.0,10.32221929473392,17.888200887872443,,Industry,False
LCNP MNIST,,,Vision,2009.0,7.065066174478804,15.62136867524609,,,False
LCNP LabelMe,University of Bonn,Germany,Vision,2009.0,7.137663957926013,15.517875199637619,,Academia,False
KN5 LM + RNN 400/10 (WSJ),"Brno University of Technology,Johns Hopkins University",Czechia,Speech,2010.0,7.345569756056392,16.230448921378272,,Academia,False
RNN 1000/5 + RT09 LM (NIST RT05),"Brno University of Technology,Johns Hopkins University",Czechia,Speech,2010.0,7.886710636820261,16.69897000433602,,Academia,False
RNN LM,Johns Hopkins University,United States of America,Language,2010.0,7.846739050596166,16.732071940999866,,Academia,False
Deep Autoencoders,University of Toronto,Canada,Vision,2011.0,8.145532818257827,16.565004847446016,,Academia,False
CNN Committee (MNIST),IDSIA,Switzerland,Vision,2011.0,5.081419324134934,16.7160033436348,,Academia,False
AlexNet,University of Toronto,Canada,Vision,2012.0,7.778151250383644,17.672097857935718,1.1922817228913725,Academia,False
Unsupervised High-level Feature Learner,Google,United States of America,Vision,2012.0,9.0,17.778151250383644,1.2049134045924237,Industry,False
Dropout (ImageNet),University of Toronto,Canada,Vision,2012.0,,17.436475608075085,0.9005067268550813,Academia,False
DNN EM segmentation,"IDSIA,SUPSI",Switzerland,Vision,2012.0,5.340237825552401,17.67942789661212,0.5915749258628938,Academia,False
Visualizing CNNs,New York University (NYU),United States of America,Vision,2013.0,,17.72591163229505,1.11374294158954,Academia,False
DistBelief NNLM,Google,United States of America,Language,2013.0,,18.417095529308064,3.512575537357778,Industry,False
TransE,"Universite de Technologie de Compiègne – CNRS,Google",France,Language,2013.0,8.974050902792877,18.127405459401064,1.4775278146330113,Academia,False
SPPNet,"Microsoft,Xi’an Jiaotong University,University of Science and Technology of China (USTC)",United States of America,Vision,2014.0,,18.532890886476494,1.7130879178335916,Industry,False
VGG19,University of Oxford,United Kingdom of Great Britain and Northern Ireland,Vision,2014.0,8.15836249209525,19.041392685158225,,Academia,False
SNM-skip,Google,United States of America,Language,2014.0,10.792391689498254,20.4736329268753,,Industry,False
RNNsearch-50*,"Jacobs University Bremen,University of Montreal / Université de Montréal",Germany,Language,2014.0,,18.1917862475822,,Academia,False
VGG16,University of Oxford,United Kingdom of Great Britain and Northern Ireland,Vision,2014.0,8.139879086401237,19.089587218672804,2.3788295558828545,Academia,False
Seq2Seq LSTM,Google,United States of America,Language,2014.0,9.28330122870355,19.7481880270062,,Industry,False
