primary_country,year,primary_domain,org_type,model_count,frontier_count,notable_count,open_count
Argentina,2013.0,Vision,Academia,1,0,0,0
Australia,2016.0,Biology,Academia,1,0,1,1
Australia,2016.0,Vision,Academia,1,0,0,0
Australia,2017.0,Vision,Academia,1,0,0,0
Australia,2019.0,Language,Academia,1,0,0,0
Australia,2024.0,Biology,Academia,1,0,0,0
Australia,2024.0,Image generation,Industry,1,0,0,0
Australia,2024.0,Vision,Industry,1,0,1,0
Australia,2025.0,Video,Industry,1,0,0,0
Austria,2020.0,Biology,Academia,1,0,1,1
Austria,2022.0,Language,Academia,1,0,0,0
Austria,2023.0,Language,Academia,5,0,0,1
Austria,2024.0,Language,Academia,1,0,0,0
Belgium,2016.0,Vision,Industry,1,0,1,0
Belgium,2017.0,Language,Academia,2,0,0,0
Belgium,2018.0,Language,Academia,3,0,1,2
Bulgaria,2025.0,Language,Academia,1,0,0,1
Canada,1988.0,Speech,Academia,1,0,1,0
Canada,2000.0,Language,Academia,1,1,1,0
Canada,2001.0,Vision,Academia,1,0,0,0
Canada,2003.0,Language,Academia,2,2,2,0
Canada,2006.0,Other,Academia,1,0,1,0
Canada,2006.0,Vision,Academia,2,0,2,0
Canada,2007.0,Other,Academia,1,0,0,0
Canada,2008.0,Language,Academia,2,0,1,0
Canada,2008.0,Other,Academia,1,0,1,0
Canada,2009.0,Other,Academia,1,0,0,0
Canada,2009.0,Recommendation,Industry,1,0,1,0
Canada,2009.0,Speech,Academia,1,0,1,0
Canada,2009.0,Vision,Academia,1,0,1,0
Canada,2010.0,Other,Academia,1,0,1,0
Canada,2010.0,Vision,Academia,3,0,3,0
Canada,2011.0,Vision,Academia,2,1,2,0
Canada,2012.0,Audio,Academia,1,0,0,0
Canada,2012.0,Other,Academia,1,0,1,0
Canada,2012.0,Speech,Academia,1,0,1,0
Canada,2012.0,Vision,Academia,4,2,4,0
Canada,2013.0,Language,Academia,1,0,0,0
Canada,2013.0,Speech,Academia,1,0,1,0
Canada,2013.0,Vision,Academia,1,0,0,0
Canada,2014.0,Image generation,Academia,1,0,1,0
Canada,2014.0,Language,Academia,1,0,1,0
Canada,2014.0,Multimodal,Academia,1,0,1,0
Canada,2014.0,Vision,Academia,1,0,1,0
Canada,2015.0,Image generation,Academia,1,0,0,0
Canada,2015.0,Language,Academia,1,0,0,1
Canada,2016.0,Image generation,Academia,2,0,0,0
Canada,2016.0,Language,Academia,3,0,1,0
Canada,2016.0,Vision,Academia,3,0,0,1
Canada,2017.0,Games,Academia,1,0,1,0
Canada,2017.0,Games,Industry,1,0,1,0
Canada,2017.0,Language,Academia,1,0,0,0
Canada,2017.0,Vision,Academia,2,0,1,0
Canada,2020.0,Biology,Academia,2,0,0,1
Canada,2020.0,Image generation,Academia,2,0,0,0
Canada,2020.0,Language,Academia,3,0,1,2
Canada,2021.0,Language,Academia,1,0,1,1
Canada,2022.0,Biology,Academia,2,0,0,0
Canada,2022.0,Language,Academia,2,0,1,1
Canada,2023.0,Biology,Academia,5,0,0,0
Canada,2023.0,Biology,Industry,1,0,0,0
Canada,2023.0,Language,Academia,2,0,0,0
Canada,2023.0,Language,Industry,3,0,1,0
Canada,2024.0,Biology,Academia,4,0,0,2
Canada,2024.0,Biology,Industry,2,0,0,1
Canada,2024.0,Games,Academia,1,0,0,1
Canada,2024.0,Image generation,Industry,2,0,0,0
Canada,2024.0,Language,Academia,1,0,0,1
Canada,2024.0,Language,Industry,5,0,1,5
Canada,2025.0,Biology,Industry,1,0,0,0
Canada,2025.0,Image generation,Industry,2,0,0,0
Canada,2025.0,Language,Industry,3,0,0,2
Canada,2025.0,Multimodal,Industry,1,0,0,1
Canada,2025.0,Video,Industry,2,0,0,0
Canada,2025.0,Vision,Industry,1,0,0,1
China,2014.0,Language,Academia,1,0,1,0
China,2014.0,Vision,Academia,1,0,1,0
