Model,Organization,primary_country,primary_domain,year,org_type,log_parameters,log_compute,is_frontier,is_notable,is_open_weights
Falcon-180B,Technology Innovation Institute,United Arab Emirates,Language,2023.0,Government,11.255272505103306,24.57518784492766,True,True,True
GPT-3 175B (davinci),OpenAI,United States of America,Language,2020.0,Industry,11.242044239369552,23.496929648073216,True,True,False
GLM-130B,Tsinghua University,China,Language,2022.0,Academia,11.113943352306837,23.550106671714225,False,True,True
Gopher (280B),DeepMind,United Kingdom of Great Britain and Northern Ireland,Language,2021.0,Industry,11.44715803134222,23.800029359244135,True,True,False
OPT-175B,Meta AI,United States of America,Language,2022.0,Industry,11.243038048686294,23.633468455579585,False,True,True
BLOOM-176B,"Hugging Face,BigScience",United States of America,Language,2022.0,Industry,11.24612240217593,23.563082205700514,False,True,True
PaLM (540B),Google Research,United States of America,Language,2022.0,Industry,11.732675155803872,24.402639612897094,True,True,False
Llama 3.1-405B,Meta AI,United States of America,Language,2024.0,Industry,11.60745502321467,25.57978359661681,True,True,True
GPT-4 (Mar 2023),OpenAI,United States of America,Multimodal,2023.0,Industry,12.255272505103306,25.32221929473392,True,True,False
GPT-4 (Jun 2023),OpenAI,United States of America,Multimodal,2023.0,Industry,12.255272505103306,25.32221929473392,True,True,False
LLaMA-65B,Meta AI,United States of America,Language,2023.0,Industry,10.81424759573192,23.740362689494244,False,True,True
UL2,"Google Research,Google Brain",United States of America,Language,2022.0,Industry,10.301029995663981,23.079181246047625,False,True,True
BloombergGPT,"Bloomberg,Johns Hopkins University",United States of America,Language,2023.0,Industry,10.703797345765011,23.372912002970107,False,True,False
Llama 2-70B,Meta AI,United States of America,Language,2023.0,Industry,10.845098040014257,23.90848501887865,False,True,True
Meena,Google Brain,United States of America,Language,2020.0,Industry,9.414973347970818,23.049218022670182,True,True,False
Megatron-LM (8.3B),NVIDIA,United States of America,Language,2019.0,Industry,9.919078092376074,21.959041392321094,True,True,False
Code Llama-70B,Meta AI,United States of America,Language,2024.0,Industry,10.845098040014257,24.100370545117563,False,False,True
StarCoder,"Hugging Face,ServiceNow,Northeastern University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),Carnegie Mellon University (CMU),Johns Hopkins University,Leipzig University,ScaDS.AI,Queen Mary University of London,Roblox,Sea AI Lab,Technion - Israel Institute of Technology,Monash University,CSIRO,Data61,McGill University,Saama,University of British Columbia (UBC),Massachusetts Institute of Technology (MIT),Technical University of Munich,IBM,University of Vermont,UnfoldML,SAP,University of Notre Dame,Columbia University,New York University (NYU),University of Allahabad,Discover Dollar,Toloka,Telefonica,Stanford University,Weizmann Institute of Science,Alan Turing Institute,Wellesley College,EleutherAI,Forschungszentrum Julich",United States of America,Language,2023.0,Industry,10.190331698170292,22.927370363039024,False,True,True
DeepSeek-V3,DeepSeek,China,Language,2024.0,Industry,11.826722520168993,24.518513939877888,False,True,True
AlexaTM 20B,Amazon,United States of America,Language,2022.0,Industry,10.29556709996248,23.310425679010848,False,True,False
Megatron-Turing NLG 530B,"Microsoft,NVIDIA",United States of America,Language,2021.0,Industry,11.724275869600788,23.93379088414342,True,True,False
DeepSeek-V3 (Mar 2025),DeepSeek,China,Language,2025.0,Industry,11.826722520168993,24.518513939877888,False,True,True
HyperCLOVA 82B,"NAVER,Search Solutions",Korea (Republic of),Language,2021.0,Industry,10.913813852383717,23.16908635748702,False,False,False
Nemotron-4 340B,NVIDIA,United States of America,Language,2024.0,Industry,11.531478917042255,25.255272505103306,True,True,True
Megatron-BERT,NVIDIA,United States of America,Language,2019.0,Industry,9.5910646070265,22.342422680822207,True,True,False
GShard (dense),Google,United States of America,Language,2020.0,Industry,9.361727836017593,22.678062904974347,True,True,False
GLaM,Google,United States of America,Language,2021.0,Industry,12.079181246047625,23.560661048781533,False,True,False
MegaScale (530B),"ByteDance,Peking University",China,Language,2024.0,Industry,11.724275869600788,23.986368593570276,False,False,False
Skywork-13B,Kunlun Inc.,China,Language,2023.0,Industry,10.113943352306837,23.397940008672037,False,True,True
LUKE,"University of Washington,National Institute of Informatics",United States of America,Language,2020.0,Academia,8.683947130751513,22.258733037212814,False,True,True
EXAONE Deep 32B,LG AI Research,Korea (Republic of),Language,2025.0,Industry,10.505149978319906,24.100370545117563,False,True,True
T5-11B,Google,United States of America,Language,2019.0,Industry,10.041392685158225,22.518513939877888,True,True,True
VideoMAE V2,"Nanjing University,Shenzhen Institute of Advanced Technology,Shanghai AI Lab",China,Video,2023.0,Academia,9.0,21.986771734266245,False,True,True
Switch,Google,United States of America,Language,2021.0,Industry,12.196176185039974,22.91487181754005,True,True,True
AFM-on-device,Apple,United States of America,Language,2024.0,Industry,9.436162647040756,23.65442683906152,False,True,False
OpenVLA,"Stanford University,University of California (UC) Berkeley,Toyota Research Institute,Google DeepMind,Massachusetts Institute of Technology (MIT),Physical Intelligence",United States of America,Robotics,2024.0,Academia,9.85661411033261,23.041392685158225,False,True,True
GPT-NeoX-20B,EleutherAI,United States of America,Language,2022.0,Research collective,10.301029995663981,22.96924207030419,False,True,True
LaMDA,Google,United States of America,Language,2022.0,Industry,11.136720567156408,23.550228353055093,False,True,False
Nucleotide Transformer,"NVIDIA,Technical University of Munich,InstaDeep",United States of America,Biology,2023.0,Industry,9.397940008672037,21.907411360774585,False,True,True
AlphaCode,DeepMind,United Kingdom of Great Britain and Northern Ireland,Language,2022.0,Industry,10.613841821876068,23.37659520434048,False,True,False
ViT-22B,Google,United States of America,Vision,2023.0,Industry,10.337319465856927,23.286115007928224,False,True,False
EfficientNetV2-XL,"Google,Google Brain",United States of America,Vision,2021.0,Industry,8.318063334962762,19.9804578922761,False,True,True
Llemma 34B,"Princeton University,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington,EleutherAI",United States of America,Mathematics,2023.0,Academia,10.531478917042255,23.73456765593479,False,False,True
Flamingo,DeepMind,United Kingdom of Great Britain and Northern Ireland,Multimodal,2022.0,Industry,10.903089986991944,23.340388585055067,False,True,False
Llemma 7B,"Princeton University,EleutherAI,University of Toronto,Vector Institute,University of Cambridge,Carnegie Mellon University (CMU),University of Washington",United States of America,Mathematics,2023.0,Academia,9.845098040014257,23.07213404578517,False,False,True
Flan-PaLM 540B,Google,United States of America,Language,2022.0,Industry,11.732393759822969,24.40483371662011,True,True,False
PanGu-Σ,Huawei Noah's Ark Lab,China,Language,2023.0,Industry,12.035429738184549,23.66931688056611,False,True,False
BERT-Large,Google,United States of America,Language,2018.0,Industry,8.531478917042255,20.45484486000851,False,True,True
xTrimoPGLM -100B,"Tsinghua University,BioMap Research",China,Biology,2023.0,Academia,11.0,23.792391689498253,False,True,False
InternLM-XComposer,Shanghai AI Lab,China,Multimodal,2023.0,Academia,9.845098040014257,21.722633922533813,False,False,True
LLaVA 1.5,"University of Wisconsin Madison,Microsoft Research",United States of America,Multimodal,2023.0,Academia,10.113943352306837,22.892484179364686,False,True,True
XGLM-7.5B,"Meta AI,Facebook AI Research",United States of America,Language,2021.0,Industry,9.8750612633917,22.352182518111363,False,True,True
Jais,"Cerebras Systems,Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),Inception G42",United States of America,Language,2023.0,Industry,10.113943352306837,22.689723975858826,False,True,True
UnifiedQA,"Allen Institute for AI,University of Washington",United States of America,Language,2020.0,Research collective,10.041392685158225,19.217483944213907,False,True,True
MegaScale (Production),"ByteDance,Peking University",China,Language,2024.0,Industry,11.724275869600788,24.5910646070265,False,True,False
RoBERTa Large,"Facebook,University of Washington",United States of America,Language,2019.0,Industry,8.550228353055093,21.929761117107013,True,True,True
HyenaDNA,"Stanford University,Harvard University,Mila - Quebec AI (originally Montreal Institute for Learning Algorithms),University of Montreal / Université de Montréal",United States of America,Biology,2023.0,Academia,6.819543935541868,21.257918450314058,False,True,True
Falcon-40B,Technology Innovation Institute,United Arab Emirates,Language,2023.0,Government,10.602059991327963,23.380211241711606,False,True,True
Segment Anything Model,Meta AI,United States of America,Vision,2023.0,Industry,8.803457115648413,21.89209460269048,False,True,True
SPHINX (Llama 2 13B),"Shanghai AI Lab,Chinese University of Hong Kong (CUHK),ShanghaiTech University",China,Vision,2023.0,Academia,10.298853076409706,22.482873583608754,False,True,True
Galactica,Meta AI,United States of America,Language,2022.0,Industry,11.079181246047625,23.510545010206613,False,True,True
NVLM-D 72B,NVIDIA,United States of America,Vision,2024.0,Industry,10.857332496431269,24.48000694295715,False,True,True
Yuan 1.0,Inspur,China,Language,2021.0,Industry,11.390458180652285,23.548757828573716,True,True,False
EVA-01,"Beijing Academy of Artificial Intelligence / BAAI,Huazhong University of Science and Technology,Zhejiang University (ZJU),Beijing Institute of Technology",China,Vision,2022.0,Academia,9.004751155591,22.17638069224327,False,True,True
AFM-server,Apple,United States of America,Language,2024.0,Industry,,24.633468455579585,False,True,False
